"neighbourhood_group","neighbourhood","listing_count","avg_price"
Bronx,Concourse,50,86.18
Bronx,Fordham,62,69.42
Bronx,Kingsbridge,70,77.93
Bronx,Longwood,62,91.92
Bronx,Mott Haven,60,88.92
Bronx,Wakefield,50,85.58
Brooklyn,Bay Ridge,135,104.56
Brooklyn,Bedford-Stuyvesant,3665,101.46
Brooklyn,Bensonhurst,75,75.79
Brooklyn,Boerum Hill,175,175.93
Brooklyn,Borough Park,136,63.07
Brooklyn,Brighton Beach,72,94.03
Brooklyn,Brooklyn Heights,148,197.01
Brooklyn,Brownsville,61,76.46
Brooklyn,Bushwick,2440,84.09
Brooklyn,Canarsie,147,104.37
Brooklyn,Carroll Gardens,230,170.52
Brooklyn,Clinton Hill,564,149.95
Brooklyn,Cobble Hill,94,199.1
Brooklyn,Crown Heights,1544,108.91
Brooklyn,Cypress Hills,132,93.23
Brooklyn,Downtown Brooklyn,81,151.63
Brooklyn,East Flatbush,490,89.56
Brooklyn,East New York,217,85.66
Brooklyn,Flatbush,612,90.76
Brooklyn,Flatlands,82,107.24
Brooklyn,Fort Greene,480,149.22
Brooklyn,Fort Hamilton,55,93.82
Brooklyn,Gowanus,243,154.48
Brooklyn,Gravesend,66,78.83
Brooklyn,Greenpoint,1106,135.96
Brooklyn,Kensington,173,93.06
Brooklyn,Midwood,106,79.73
Brooklyn,Park Slope,489,172.55
Brooklyn,Prospect Heights,349,144.09
Brooklyn,Prospect-Lefferts Gardens,525,104.05
Brooklyn,Red Hook,78,143.76
Brooklyn,Sheepshead Bay,162,94.43
Brooklyn,South Slope,273,149.16
Brooklyn,Sunset Park,383,103.38
Brooklyn,Williamsburg,3856,139.62
Brooklyn,Windsor Terrace,155,138.05
Manhattan,Battery Park City,61,204.33
Manhattan,Chelsea,1068,224.78
Manhattan,Chinatown,362,157.74
Manhattan,Civic Center,51,192.76
Manhattan,East Harlem,1101,120.76
Manhattan,East Village,1817,174.06
Manhattan,Financial District,731,220.56
Manhattan,Flatiron District,75,275.85
Manhattan,Gramercy,327,195.54
Manhattan,Greenwich Village,363,218.06
Manhattan,Harlem,2608,113.81
Manhattan,Hell's Kitchen,1921,196.58
Manhattan,Inwood,251,89.06
Manhattan,Kips Bay,461,190.73
Manhattan,Little Italy,110,184.03
Manhattan,Lower East Side,895,162.1
Manhattan,Midtown,1506,266.58
Manhattan,Morningside Heights,339,111.97
Manhattan,Murray Hill,477,215.59
Manhattan,NoHo,77,276.25
Manhattan,Nolita,246,195.24
Manhattan,Roosevelt Island,75,95.95
Manhattan,SoHo,345,254.88
Manhattan,Theater District,281,230.32
Manhattan,Tribeca,164,330.59
Manhattan,Two Bridges,71,127.03
Manhattan,Upper East Side,1729,171.88
Manhattan,Upper West Side,1908,178.11
Manhattan,Washington Heights,880,89.87
Manhattan,West Village,737,240.4
Queens,Arverne,76,154.3
Queens,Astoria,883,101.25
Queens,Briarwood,56,105.88
Queens,Corona,64,59.17
Queens,Ditmars Steinway,306,95.39
Queens,East Elmhurst,184,81.03
Queens,Elmhurst,236,80.38
Queens,Flushing,425,90.2
Queens,Forest Hills,140,107.17
Queens,Glendale,54,90.8
Queens,Jackson Heights,185,81.15
Queens,Jamaica,231,95.77
Queens,Long Island City,530,121.87
Queens,Maspeth,109,83.5
Queens,Ozone Park,62,85.27
Queens,Queens Village,60,83.93
Queens,Rego Park,104,84.19
Queens,Richmond Hill,93,86.67
Queens,Ridgewood,416,77.63
Queens,Rockaway Beach,56,132.18
Queens,Rosedale,58,71.98
Queens,Springfield Gardens,85,94.24
Queens,St. Albans,76,100.83
Queens,Sunnyside,355,85.58
Queens,Woodhaven,88,67.17
Queens,Woodside,233,85.52
